物件,價位/坪,總價,房間,位置
建商保留戶~坪/25萬出,25.31,,2房2廳2衛,花蓮市
林宏緯農舍-太平洋海景頂級豪邸,89.3,,5房3廳6衛,壽豐鄉
林宏緯農舍-太昌私人獨棟豪邸農舍,33.77,,5房3廳6衛,吉安鄉
林宏緯農舍-壽豐童話故事夢莊園,51.74,,9房2廳10衛,壽豐鄉
林宏緯專任-北昌邊間學區透天厝,36.38,,3房2廳2衛,花蓮市
山海景陽台套房,18.22,,1房1衛,花蓮市
來開診所吧家樂福附近雙店面,31.43,,4房2廳4衛,新城鄉
花蓮車站旁7年全新奢華電梯別墅間間套房,31.03,,7房2廳8衛,花蓮市
#專任#吉安屋新稀有車庫別墅,28.11,,4房2廳3衛,吉安鄉
花蓮近市區邊間地大採光佳稀有別墅檡出,24.3,,7房2廳4衛,吉安鄉
已售出-668萬-屋主誠售-市中心7分鐘,19.65,,3房2廳2衛,吉安鄉
已售出花蓮永興全新四套房美墅-優質別墅,25.62,,4房2廳5衛,吉安鄉
花蓮車站前社區邊間別墅-1樓可隔孝親,29.62,,4房2廳3衛,花蓮市
花蓮市區稀有復古小透天-污水已完成#推,27.15,,3房2廳1衛,花蓮市
專任-站前双車庫稀有挑高美透天-店住,35.75,,4房2廳4衛,花蓮市
花蓮後站5分鐘-豐村全新裝潢溫馨別墅,22.43,,5房3廳6衛,花蓮市
花蓮正市區南京郵局溫馨透天全新裝潢,35.06,,3房1廳4衛,花蓮市
汽車教練場歡迎配合土地4745坪,40.84,,1房1廳2衛,鳳林鎮
東大門.重慶商圈.便捷安靜透天屋廉售,18.35,,5房1廳3衛,花蓮市
市區精華透天店面,32.16,,2房2廳1衛,花蓮市
近重慶市場收租型低總價平房-家有建國,29.37,,3房3衛,花蓮市
花蓮新城鄉-黃娟娟推薦~臻新城裔2房2廳,23.29,,2房2廳2衛,新城鄉
黃娟娟獨家推薦~獨棟孝親套房車庫別墅,23.38,,5房2廳6衛,吉安鄉
近台開影城邊間別墅,53.06,,6房2廳7衛,吉安鄉
找台灣玉如美崙附小學區2+1房華廈~,20.8,,3房2廳2衛,花蓮市
🍎永慶富國🍎全新整理溫馨車庫透天,36.98,,3房2廳3衛,新城鄉
🍎永慶富國🍎花蓮優質學區優質透天,27.39,,3房1廳3衛,花蓮市
遠雄看海稀有別墅-宏宇,54.82,,7房2廳7衛,壽豐鄉
碧雲莊大地坪庭院車庫別墅-宏宇,17.01,,4房2廳3衛,花蓮市
台灣劭淩全新整理美崙大坪數四房華廈,15.92,,4房2廳2衛,花蓮市
站前低總價2房,15.81,,2房1廳1衛,花蓮市
*專售*市區建國收租型透天-家有建國,21.45,,4房2廳4衛,花蓮市
獨家專賣美崙溫水游泳池大坪數豪宅華廈,18.9,,3房2廳3衛,花蓮市
🈶專~後站稀有釋出美墅,22.93,,4房3廳4衛,花蓮市
專任壽豐🔥教授村美式社區獨棟🔥別墅,31.16,,4房2廳3衛,壽豐鄉
抗通膨投報6%國風學區雙車庫店住,36.46,,7房2廳7衛,花蓮市
台灣大為推薦美崙附小學區2+1房,20.85,,3房2廳2衛,花蓮市
※近黃昏市場全新2房車位華廈※,27.79,,2房2廳2衛,吉安鄉
🍎專任！北昌大空間公寓！賣屋四寶媽上慧,14.24,,3房2廳1衛,吉安鄉
🍎永慶富國🍎天琴樓中樓華廈平面車位,18.82,,3房3廳3衛,花蓮市
我是承辦~美崙全新電梯別墅~免兩千萬,29.53,,3房3廳4衛,花蓮市
🍎仁里全新整理別墅！賣屋四寶媽上慧,28.78,,3房2廳3衛,吉安鄉
🍎市區邊間稀有便宜店住！賣屋四寶媽上慧,32.8,,4房2廳5衛,花蓮市
🍎慶豐稀有鋼構透天.賣屋四寶媽上慧,39.79,,1房1廳1衛,吉安鄉
🍎吉安大空間採光好三房！賣屋四寶媽上慧,19.36,,3房2廳2衛,吉安鄉
🍎吉安8年三面採光農舍.賣屋四寶媽上慧,38.81,,5房3廳6衛,吉安鄉
黃昏市場稀有雙車庫電梯別墅,30.47,,4房2廳5衛,吉安鄉
🍎永慶富國🍎專售正自強路旁黃金店面,41.02,,4房2廳5衛,吉安鄉
[專任]美崙文教區民孝國宅華廈,12.3,,3房2廳2衛,花蓮市
🍎永慶富國🍎北昌雙拼大別墅近慈濟醫院,34.68,,3房3廳2衛,花蓮市
[專任]美崙文教區民孝國宅華廈,12.3,,3房2廳2衛,花蓮市
🍎永慶富國🍎北昌雙拼大別墅近慈濟醫院,34.68,,3房3廳2衛,花蓮市
吉安慈濟稀有農舍-宏宇,33.77,,5房3廳6衛,吉安鄉
新城富比世低總價別墅C-宏宇,23.09,,2房3廳3衛,新城鄉
光復低總價好地點小透天-宏宇,7.81,,5房2廳2衛,光復鄉
後站漂亮低總價民宿-宏宇,22.11,,5房2廳6衛,花蓮市
黃娟娟推薦~4套房全新完工車庫別墅,25.47,,4房2廳5衛,吉安鄉
志揚】新城煙波飯店旁天空之鏡海景農舍,24.06,,9房2廳10衛,新城鄉
獨家★北埔花海旁孝親免整理車庫透天,30.16,,3房2廳2衛,新城鄉
專任★前站有管理兩房車位華廈,16.8,,2房2廳2衛,花蓮市
(專任)台灣劭淩田園美景華廈~可直接入住,10.65,,3房2廳2衛,吉安鄉
🍎永慶富國🍎花蓮市國風街自地自建三房,34.99,,3房2廳2衛,花蓮市
志揚】花蓮市區高投報率抗通膨收租型套房,21.53,,14房1廳14衛,花蓮市
志揚】花蓮市山海夜景全新整理兩房,22.66,,2房2廳1衛,花蓮市
🍎永慶富國🍎秀林鄉崇德社區有庭院平房,15.75,,1房1廳1衛,秀林鄉
專任🔥前站雙陽台大套房！通風採光極好,21.89,,1房1衛,花蓮市
🍎永慶富國🍎站前中華國小3房美華廈,18.49,,3房2廳3衛,花蓮市
🍎永慶富國🍎年營業額1600萬店面,78.93,,4房2廳2衛,花蓮市
🍎永慶富國🍎花蓮市德安三房清靜透天,32.46,,3房2廳2衛,花蓮市
🍎永慶富國🍎晶華凱悅高樓層百坪華廈,27.07,,4房2廳2衛,花蓮市
🍎永慶富國🍎市區漂亮別墅,20.06,,4房2廳3衛,花蓮市
尚芳-山丘上的農舍,49.62,,3房2廳2衛,瑞穗鄉
尚芳-市區套房(二),18.12,,1房1衛,花蓮市
太昌近慈濟輕齡美農舍-家有建國,33.77,,5房3廳6衛,吉安鄉
近四維高中大坪數車位華廈B-家有建國,21.2,,2房2廳2衛,花蓮市
專售_花蓮市香榭大道大坪數公寓,12.65,,3房2廳2衛,花蓮市
東安社區正對公園地絕美景觀視野別墅,21.54,,5房2廳6衛,壽豐鄉
君悅富國站前車位華廈飯店式管理,28.48,,3房2廳2衛,花蓮市
慶修院平房原味屋-家有建國,35,,3房2廳1衛,吉安鄉
公寓5和6樓2層-家有建國,16.18,,開放式格局,花蓮市
專案-玉里鎮市中心生活便利4套房別墅,19.54,,4房3廳5衛,玉里鎮
慶豐全新別墅-家有建國,26.05,,4房2廳4衛,吉安鄉
台灣劭淩北昌重劃五房孝親房別墅,23.67,,5房3廳2衛,吉安鄉
花蓮市中山路黃金店面,110.86,,1房1廳1衛,花蓮市
吉安麥當勞!溪畔公寓宅!低樓層唯美住宅!,22.4,,3房2廳2衛,花蓮市
💁🏻‍♀️北歐現代風格景觀華廈,23.05,,3房2廳2衛,花蓮市
💁🏻‍♀️北昌近後站機能佳華廈,24,,3房1廳1衛,花蓮市
慈濟園區對面雙面採光大陽台套房,21.58,,1房1衛,花蓮市
慶豐田園景觀別墅【台灣大為推薦】,26.09,,4房2廳4衛,吉安鄉
看海美宅觀日出，孝親房，平面車位,18.15,,2房2廳2衛,花蓮市
月收租2萬元有車位大坪數三房銜接租約,17.41,,3房2廳2衛,花蓮市
站前~建商保留戶~坪/25萬出,25.1,,1房1廳1衛,花蓮市
建坪41坪+平面車位~優質屋,21,,3房2廳2衛,花蓮市
北昌村~曾經老師的家【台灣大為推薦】,27.54,,5房2廳4衛,花蓮市
台灣大為~市區景觀2房,24.23,,2房2廳2衛,花蓮市
南華.土地96坪電梯大別墅,24.41,,6房2廳7衛,吉安鄉
吉安分局車位三房【台灣大為推薦】,19.95,,3房2廳2衛,吉安鄉
悠活專任-頂級南歐莊園,45.22,,9房3廳10衛,壽豐鄉
晶華凱悅三車位住辦二用(專任委託),36.24,,2房2廳2衛,花蓮市
悠活專任-每月12萬17房雙建物,20.15,,17房17衛,花蓮市
悠活專任--明義國小美裝潢三房,21.25,,3房2廳2衛,花蓮市
花蓮市精華地段透天,82.05,,6房2廳6衛,花蓮市
花蓮威力大師浪漫情懷美崙花園老洋房,74.03,,3房2廳2衛,花蓮市
專任文鼎綠境華廈兩房，有承租車位,21.64,,2房2廳1衛,吉安鄉
學區房全新華廈2房2廳2衛浴＋平面車位,28.94,,2房2廳2衛,花蓮市
公寓三樓全新整理～好成家3房,24.03,,3房2廳1衛,花蓮市
獨家～河岸景觀宅～成家三房有車位,21.01,,3房2廳2衛,花蓮市
屋齡3年～花蓮市美妝電梯兩房～,26.17,,2房1廳1衛,花蓮市
吉安全新整理3套房,29.79,,4房2廳4衛,吉安鄉
吉安永興5套房電梯別墅2年新屋,20.87,,5房2廳6衛,吉安鄉
專案吉安永興4套房大面寬2年新別墅,22,,4房2廳5衛,吉安鄉
後站稀有別墅！五房適大家庭！找陳玉如,42.59,,5房2廳4衛,花蓮市
北昌優質住宅區-二樓健康宅,21.46,,3房2廳1衛,花蓮市
面對高爾夫球場~景觀豪宅,26.12,,4房2廳3衛,花蓮市
永興.全新完工~四套房,25.96,,4房2廳5衛,吉安鄉
黃昏市場中央路旁交通便利工作室型別墅,17.41,,6房2廳5衛,吉安鄉
吉安南埔新建案華廈,23.2,,3房2廳2衛,吉安鄉
獨家～站前有整理～面寬三房華店,24.92,,3房2廳2衛,花蓮市
美崙社區型雙併大地坪歐式挑高車庫別墅,21.47,,3房3廳3衛,花蓮市
高指名指標性上美崙近門諾別墅,32.96,,5房3廳4衛,花蓮市
福興大地坪雙車庫電梯別墅〔已成交〕,22.63,,4房3廳6衛,吉安鄉
華廈豪宅頂級設備裝潢全都送,26.25,,4房2廳3衛,花蓮市
宅在東台灣-壽豐大地坪休閒綠蔭悠靜農舍,37.5,,3房3廳2衛,壽豐鄉
美崙全新預售華廈,24.88,,3房2廳2衛,花蓮市
慶豐面寬全新4套房預售屋別墅,28.84,,4房2廳5衛,吉安鄉
美崙近球崙運動公園全新別墅,32.14,,4房2廳5衛,花蓮市
美崙千坪公園有車位(暫停)-找玲玲一定靈,19.53,,4房2廳2衛,花蓮市
黃昏市場旁四套房別墅,16.16,,4房3廳5衛,吉安鄉
上美崙平面車位公園全新大坪數華廈,33.41,,3房2廳2衛,花蓮市
稀有五房別墅/超美全新裝潢/北埔站前,24.24,,5房2廳6衛,新城鄉
市區中正路巷弄透天,27.33,,3房2廳3衛,花蓮市
東華大學地300坪合法平房免繳房地稅,52.92,,開放式格局,壽豐鄉
德安明亮三房華廈,20.63,,3房2廳2衛,花蓮市
"土地171坪透天,近花蓮火車站慈濟醫院",15.09,,3房2廳2衛,花蓮市
佳林社區全新裝潢透天,34.07,,2房3廳3衛,新城鄉
花蓮市國民九街精美華店,21.64,,3房2廳3衛,花蓮市
花蓮市國盛一街低樓層公寓,22.32,,3房2廳2衛,花蓮市
愛琴海電梯華廈,22.22,,2房1廳1衛,花蓮市
花蓮富里透天厝,17.13,,4房2廳2衛,富里鄉
💯💯💯玉玲專賣前站管理兩房車位華廈,16.8,,2房2廳2衛,花蓮市
💯專賣花蓮市浪漫滿屋海景三房華廈,29.52,,3房2廳2衛,花蓮市
💯💯玉玲專賣北昌超優質社區電梯別墅,30.98,,4房2廳5衛,花蓮市
💯美崙一線看海大四房福容飯店旁華廈,15.99,,4房2廳3衛,花蓮市
💯💯💯花蓮後站七套房邊間屋況佳別墅,21.02,,7房2廳7衛,花蓮市
💯💯💯玉玲專賣花蓮火車站前電梯別墅,26.84,,5房2廳6衛,花蓮市
售出玉玲專賣校長故鄉鳳仁國小屋況佳透天,17.3,,4房2廳3衛,鳳林鎮
豪宅大格局住戶單純24小時管理景觀美,22.08,,4房2廳3衛,花蓮市
"花蓮鳳林建地(二),可單獨買賣",54.54,,2房,鳳林鎮
花蓮唯一鋼骨住宅大樓1.2樓免共乘電梯讚,20.51,,3房1廳2衛,花蓮市
永慶馮子甄🟨推壽豐廣闊無垠理新整美農舍,27.57,,5房3廳5衛,壽豐鄉
市中心邊間雙併透天-找玲玲一定靈,32.46,,3房2廳2衛,花蓮市
有大山大海大樹的碧雲莊養生別墅,23.42,,4房2廳4衛,花蓮市
上美崙近門諾優質小天母社區別墅,32.96,,5房3廳4衛,花蓮市
新城北埔全新整理有車庫優質透天,34.05,,3房2廳3衛,新城鄉
永慶戴淑萍專售美崙高爾夫球場旁優質別墅,26.08,,4房5衛,花蓮市
市區高樓層~美裝潢有平車三房大樓,21.53,,3房2廳2衛,花蓮市
心慈子清推薦店住～站前全新裝潢降價促銷,21.64,,3房1廳3衛,花蓮市
有山有海，兩側景觀，坐北朝南，冬暖夏涼,15.9,,4房2廳2衛,花蓮市
日光車位親子宅-找玲玲一定靈,19.51,,3房2廳2衛,花蓮市
子清推薦農舍～壽豐鄉全新整理自然風宅院,29.2,,5房2廳5衛,壽豐鄉
住商心意豐🏆成交送Dyso美崙透天,25.5,,4房2廳4衛,花蓮市
專售~花蓮市美崙溪旁屋況棒棒建康屋,13.64,,3房2廳1衛,花蓮市
21世紀小湯市區大地坪別墅,20.6,,5房2廳4衛,花蓮市
專任北埔優質透天,27.42,,3房3廳3衛,新城鄉
21世紀小湯絕美鑄上逸三房+平面車位,35.25,,3房2廳2衛,花蓮市
和勝江山精美車位華廈,21,,3房2廳2衛,花蓮市
花蓮市~高投報~現成包租公婆~7套房~,33.73,,7房7衛,花蓮市
🌈田園景色社區型全新別墅🌈,30.37,,4房2廳5衛,吉安鄉
推薦新屋一房一廳~台灣房屋找陳玉如,28.09,,1房1廳1衛,花蓮市
吉安別墅*邊間雙併*全新,25.17,,4房2廳5衛,吉安鄉
美崙住家公園旁799萬~找玉如振萍,22.69,,4房2廳2衛,花蓮市
雙車庫電梯別墅~玉如0932651644,29.15,,6房2廳7衛,吉安鄉
後站七套房別墅0932651644陳玉如,21.02,,7房2廳7衛,花蓮市
花蓮「國風學區」@多功能透天厝,29.62,,3房3廳5衛,花蓮市
全新整理藍天美景渡假農舍-宏宇,27.57,,5房3廳5衛,壽豐鄉
🎉美崙樓中樓華廈768萬有車位洽陳玉如,18.82,,3房2廳3衛,花蓮市
專任🔥前站雙陽台大套房！洽陳玉如,20.97,,1房1衛,花蓮市
典雅溫馨兩房洽陳玉如0932651644,27.19,,2房1廳1衛,花蓮市
悠活專任-精選百坪無增建頂級旅宿,25.36,,8房4廳7衛,花蓮市
悠活專任--復古稀有平房,54.98,,3房2廳1衛,鳳林鎮
南海商圈低總價別墅-專任,21.06,,4房2廳2衛,吉安鄉
壽豐方正地形渡假農舍【有夠便宜】【阿先】,27.57,,5房3廳5衛,壽豐鄉
年營業額1600萬中華和平路前後店面,85.47,,4房2廳2衛,花蓮市
美崙樓中樓大套房,18.45,,1房1廳1衛,花蓮市
站前4房機能華廈,19.39,,4房2廳2衛,花蓮市
💁‍♀️市區高樓層新穎美華廈(平面車位,23.05,,3房2廳2衛,花蓮市
李安迪推薦美崙精華區環山海景房,22.56,,3房2廳2衛,花蓮市
自售/正市區華廈景觀南洋復古渡假房,21.68,,1房1廳1衛,花蓮市
悠活精選-鳳林頂級綠建築農舍莊園,31.04,,6房3廳6衛,鳳林鎮
後站(邊間)-慈濟區-稀有-車庫透天,35.07,,6房1廳2衛,花蓮市
北昌特區國富門牌，三房免整美廈,26.06,,3房2廳2衛,花蓮市
杜編織美在市區給您兩套房全新整理透天,27.33,,2房2廳3衛,花蓮市
近後站-北昌區-超美三房-電梯華廈,26.05,,3房2廳2衛,花蓮市
🍎獨棟電梯別墅-,29.05,,5房3廳6衛,吉安鄉
美崙優質小天母社區別墅,32.96,,5房3廳4衛,花蓮市
台灣🏡萍萍🤝推薦秒殺件站前輕屋齡全新,26.17,,2房2廳1衛,花蓮市
台灣🏡萍萍🤝推薦太昌全聯邊間透天,24.98,,3房2廳4衛,花蓮市
我是承辦~福建大地坪清幽宅邸,49.81,,4房2廳2衛,花蓮市
💖💖黃昏市場溫馨宅-找玲玲一定靈,24.47,,3房2廳2衛,吉安鄉
鳳林市區大地坪復古平房,32.31,,開放式格局,鳳林鎮
吉安近知卡宣公園獨棟面寬大地坪庭院別墅,25.75,,4房2廳2衛,吉安鄉
壽豐平和四區庭院農舍,55.9,,4房2廳3衛,壽豐鄉
🌈美崙雙公園、好停車華廈,15.92,,3房2廳2衛,花蓮市
北昌全新整理精緻3房華廈,26.06,,3房2廳2衛,花蓮市
市區優質邊間透天-直街入住.採光裝潢極佳,32.8,,4房2廳4衛,花蓮市
全新整理可煮美套房,26.24,,1房1廳1衛,花蓮市
站前4房機能華廈,19.39,,4房2廳2衛,花蓮市
住商悠活專任-全景休閒農莊園式農場,59.68,,8房3廳6衛,鳳林鎮
悠活獨家專任日式木屋好建地,100.76,,1房1廳1衛,花蓮市
悠活專任--壽豐小平房,6.22,,2房1廳1衛,壽豐鄉
市區機能透天,21.15,,3房2廳2衛,花蓮市
🎉🎉碧雲莊低總價透天,14.55,,5房2廳4衛,花蓮市
花蓮市火車站前原屋況四房車位透天,21.16,,4房2廳3衛,花蓮市
美崙現代生活，中高樓層望海套房,30.14,,1房1衛,花蓮市
美崙海天一色無敵海景大套房,30.34,,1房1廳1衛,花蓮市
北埔近家樂福大地坪大面寬別墅,13.82,,5房2廳3衛,新城鄉
💁‍♀️吉安屋齡新四套房別墅,23.78,,4房2廳5衛,吉安鄉
慈濟人文特區親民價透天,14.55,,5房2廳4衛,花蓮市
慈濟人文特區親民價透天,14.57,,5房1廳4衛,花蓮市
教職起家厝～玉里大地坪雙併別墅,16.16,,7房2廳3衛,玉里鎮
玉里近車站稀有大坪數別墅,16.14,,7房2廳3衛,玉里鎮
鳳林小鎮大地坪車庫別墅,12.63,,4房2廳3衛,鳳林鎮
急售花蓮市區山海景美廈,22.32,,3房2廳2衛,花蓮市
💁‍♀️康樂原屋透天,19.6,,3房2廳2衛,新城鄉
花蓮最美農舍~南法鄉村風~,61,,5房2廳6衛,吉安鄉
專賣~花蓮吉安屋齡超新~四套房別墅,23.5,,4房2廳5衛,吉安鄉
近吉安火車站優的全新裝潢兩房華廈,25.19,,2房2廳1衛,吉安鄉
🎀🎀市區稀有釋出親民價車庫別墅,18.35,,4房2廳3衛,花蓮市
有一種味道叫做家近海星平房,27.66,,1房2廳1衛,新城鄉
後站富都心京品套房,28.46,,1房1廳1衛,花蓮市
有一種味道叫做家近海星平房,27.66,,1房2廳1衛,新城鄉
後站富都心京品套房,28.46,,1房1廳1衛,花蓮市
💥💥碧雲莊優質別墅,27.3,,4房2廳3衛,花蓮市
💁‍♀️德安美食街收租七套房,34.57,,7房7衛,花蓮市
專賣-花蓮四套房屋齡新穎別墅,23.5,,4房2廳5衛,吉安鄉
杜編織美超推薦!!!香榭大道旁溫馨小透天,21.85,,3房2廳2衛,花蓮市
北昌國富三房兩廳兩衛免整理美華廈,26.06,,3房2廳2衛,花蓮市
花蓮市火車站前低總價原屋況小資套房,19.95,,1房1衛,花蓮市
稀有釋出吉安近市區免整理美三房,20.22,,3房2廳2衛,吉安鄉
花蓮市雙併大地坪庭院別墅,40.56,,4房2廳2衛,花蓮市
市區免千萬高樓層看山看海大坪數三房美廈,25.62,,3房2廳2衛,花蓮市
💥💥美崙文教區無敵海景大套房,30.14,,1房1廳1衛,花蓮市
美崙大地坪生活都市透天,22.56,,開放式格局,花蓮市
花蓮市高樓層採光景色優美大樓,20.63,,3房2廳2衛,花蓮市
★6米面寬型5房別墅★花蓮房地買賣,25,,5房2廳5衛,吉安鄉
北埔大地坪面寬免千萬別墅,13.81,,5房2廳3衛,新城鄉
美崙現代生活海景套房,30.16,,1房1廳1衛,花蓮市
中華國宅看海溫馨裝潢華廈,22.03,,3房2廳2衛,花蓮市
慶豐邊間極具設計感店面,36.49,,3房3廳5衛,吉安鄉
杜編織美~火車站前原屋況低總價小資美套房,20,,1房1衛,花蓮市
壽豐VILLA風情農舍~有巢泉盛,38.3,,7房2廳8衛,壽豐鄉
花蓮慈濟精舍電梯農舍~有巢泉盛,29.5,,6房3廳7衛,新城鄉
台灣大為~吉安南埔孝親房透天,31.19,,4房2廳4衛,吉安鄉
市區全新3房~可買車位【台灣大為】,27.06,,3房2廳2衛,花蓮市
永慶志青~市心優質區高機能四房華廈,16.09,,4房2廳2衛,花蓮市
市區全聯旁北歐風景觀華廈-找玲玲一定靈,24.71,,3房2廳2衛,花蓮市
專賣⭐南海靜巷邊間微整理透天,22.37,,2房2廳2衛,吉安鄉
邀您共享自然與人文共構的優美綠建築,42.09,,7房5廳8衛,壽豐鄉
🍎正市區舒適兩房！搶手！賣屋四寶媽上慧,27.82,,2房1廳2衛,花蓮市
專售*花蓮市中心工業風優質透天,40.74,,4房2廳4衛,花蓮市
後站近慈濟醫生最愛靜巷五套房別墅,22.11,,5房1廳6衛,花蓮市
優質店住!人潮車潮!強強滾!,19.94,,2房2廳3衛,花蓮市
花蓮市區近東大門2年輕屋齡美華廈,27.61,,2房2廳2衛,花蓮市
花蓮後站2房車位全新預售電梯華廈,29.58,,2房2廳2衛,花蓮市
吉安整新美3房台灣大為,19.36,,3房2廳2衛,吉安鄉
【台灣大為】吉安景觀三房~每坪只要10萬,10.65,,3房2廳2衛,吉安鄉
【台灣大為推薦】市區高樓景觀3房,22.42,,3房2廳2衛,花蓮市
市區景觀車位三房【台灣大為推薦】,21.04,,3房2廳2衛,花蓮市
花蓮站前全新景觀2房【台灣大為】,26.51,,2房2廳2衛,花蓮市
市中心機能華廈蛋黃區邊間承租車位,21.46,,2房2廳2衛,花蓮市
站前河堤漂亮華廈,22.72,,3房2廳2衛,花蓮市
北昌優質生活圈經典3房,24.04,,3房2廳1衛,花蓮市
🍎三面採光全新整理兩房！賣屋四寶媽上慧,27.19,,2房1廳1衛,花蓮市
大地坪雙車位別墅【輕屋齡】【阿先】,33.23,,6房2廳5衛,花蓮市
美崙最便宜溫馨小資宅【阿先】【專售】,18.07,,1房2廳1衛,花蓮市
美崙稀有大坪數景觀華廈,16.46,,4房2廳2衛,花蓮市
吉安全新就是美別墅,25.77,,4房2廳5衛,吉安鄉
站前渡假華廈門前大車位,21.63,,3房2廳3衛,花蓮市
全新整理三面採光典雅溫馨兩房,27.19,,2房1廳1衛,花蓮市
近威秀影城超值邊間別墅【阿先】【專賣】,17.77,,4房2廳3衛,吉安鄉
明義國小旁溫馨三樓美寓【阿先】【專售】,20.81,,3房2廳2衛,花蓮市
花蓮市*國風學區*電梯華廈,21.3,,4房2廳2衛,花蓮市
花蓮縣府前電梯別墅,29.09,,5房2廳6衛,花蓮市
國際慢活城無敵山景電梯農舍,40.89,,6房2廳7衛,鳳林鎮
🍎專任站前雙陽台大套房.賣屋四寶媽上慧,21.07,,1房1廳1衛,花蓮市
花蓮市建興大廈,28.57,,2房1廳2衛,花蓮市
市區兩房有車位華廈,19.56,,2房2廳2衛,花蓮市
獨家專售💢大地坪面寬8米老宅別墅,13.22,,4房3廳4衛,吉安鄉
鄉村風合法農舍面奇萊山【阿先】【專售】,45.11,,6房2廳4衛,壽豐鄉
日式綠建築冬暖夏涼的農舍【阿先】,31,,6房3廳6衛,鳳林鎮
黃金門牌北昌大別墅-宏宇,42.94,,4房3廳4衛,花蓮市
新社面海太平洋渡假村-宏宇,56.83,,29房2廳31衛,豐濱鄉
永慶★林楚珈★碧雲莊12米路優質別墅,27.3,,4房2廳3衛,花蓮市
永慶☆林楚珈☆美崙小資族雙面採光挑高套房,21.72,,1房1廳1衛,花蓮市
低總價市區收租套房,22.79,,1房1衛,花蓮市
美崙公園旁豪邸預售別墅,27.93,,4房3廳5衛,花蓮市
吉安近貨櫃星巴克樂活全新預售別墅工業宅,24.76,,5房2廳6衛,吉安鄉
★李瓛★黃昏市場歐式雙車庫電梯別墅,31.73,,4房2廳5衛,吉安鄉
吉安車站歐風雙車庫獨棟電梯別墅,30.47,,4房2廳5衛,吉安鄉
💖💖尋找幸福的房子-找玲玲一定靈,20.63,,3房2廳2衛,花蓮市
吉安渡假villa優質農舍,56.53,,4房2廳4衛,吉安鄉
美崙雙公園、好停車4房華廈,16.46,,4房2廳2衛,花蓮市
花蓮整棟電梯民宿,28.06,,15房2廳17衛,花蓮市
{降價}二樓獨棟渡假villa休閒別墅,23.08,,3房2廳4衛,壽豐鄉
微笑美崙~最後一席~看海第一線,28.02,,2房2廳2衛,花蓮市
美崙優質公教區電梯美三房附平面車位,16.19,,3房2廳2衛,花蓮市
國立東華大學旁收租15套房農舍,26.69,,10房10衛,壽豐鄉
預售#吉安南埔全新三房#台灣大為,23.6,,3房2廳2衛,吉安鄉
慈濟後站全新預售別墅1550萬,28.7,,4房2廳5衛,花蓮市
永慶☆林楚珈☆吉安精品電梯別墅,29.15,,6房3廳7衛,吉安鄉
永慶★林楚珈★吉安庭園景觀大農舍,42.53,,5房3廳5衛,吉安鄉
永慶☆林楚珈☆吉安近火車站屋況好別墅,22.9,,4房2廳5衛,吉安鄉
永慶☆林楚珈☆吉安休閒渡假大農舍,36.6,,4房2廳4衛,吉安鄉
永慶林楚珈☆德安商圈寧靜透天,32.46,,3房2廳2衛,花蓮市
💖💖找玲玲一定靈-暫停,18.82,,3房3廳3衛,花蓮市
(售出)市區3房每坪12.7萬,12.65,,3房2廳2衛,花蓮市
市區優質中華路店面,41.37,,5房2廳5衛,花蓮市
💖💖海景車位度假屋-找玲玲一定靈,21,,3房2廳2衛,花蓮市
子清推薦別墅～慈科大旁收租8套房高投報,16.26,,8房8衛,吉安鄉
美崙優質大坪數!4房華廈,16.46,,4房2廳2衛,花蓮市
子清推薦別墅～慈科大旁收租8套房高投報,16.26,,8房8衛,吉安鄉
美崙優質大坪數!4房華廈,16.46,,4房2廳2衛,花蓮市
花蓮火車站前君悅富國飯店式住宅,32.95,,2房2廳1衛,花蓮市
中信劉建麟推薦~專任慈科大8套房收租別墅,16.21,,8房8衛,吉安鄉
專任件美崙大坪數華店,14.14,,3房2廳3衛,花蓮市
24小時社區警衛管理1-2樓含平面車位,12.81,,4房2廳2衛,壽豐鄉
專賣~黃昏市場店住兩用大地坪別墅,17.41,,6房2廳5衛,吉安鄉
獨家~美崙近千坪運動公園全新完工別墅,32.14,,4房2廳5衛,花蓮市
💖💖北昌兩房-找玲玲一定靈,28.63,,2房2廳1衛,花蓮市
台灣🏡萍萍🤝推薦市區全新整理美套房,29.71,,1房1衛,花蓮市
#售出🏡萍萍🤝推薦慈濟醫院三房美華廈,26.06,,3房2廳2衛,花蓮市
688萬歡喜買中華國小最美方正兩房,26.17,,2房1廳1衛,花蓮市
獨家★吉安東昌社區二房屋況佳美華廈,22.96,,2房1廳1衛,吉安鄉
專任★前站有管理兩房車位低總價華廈,16.8,,2房2廳2衛,花蓮市
美崙伊達斯管理大樓-宏宇,29.4,,2房1廳2衛,花蓮市
💖溫馨高質感時尚典雅兩房💖已售出,27.41,,2房2廳1衛,花蓮市
專任美崙公園華廈,19.53,,3房2廳2衛,花蓮市
獨賣~美崙高爾夫球場優質邊間別墅,26.08,,4房2廳5衛,花蓮市
🌈社區型低調奢華全新電梯別墅🌈,30.98,,4房2廳5衛,吉安鄉
🎈近市區面寬十米雙車庫前庭後院稀有別墅,25.75,,4房3廳2衛,吉安鄉
獨家!花蓮市區香榭大道旁美套房,30.77,,1房1廳1衛,花蓮市
**羿君**專推吉安超視野綠景田園農舍,39.17,,5房3廳6衛,吉安鄉
